13:11:59.788 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/category/{id}],methods=[GET]}" onto public com.springboot.blog.entity.CategoryInfo com.springboot.blog.controller.BackController.getCategoryInfo(java.lang.Long)
13:11:59.788 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/comment/article/{id}],methods=[DELETE]}" onto public java.lang.String com.springboot.blog.controller.BackController.deleteArticleComment(java.lang.Long)
13:11:59.789 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/comment/{id}],methods=[DELETE]}" onto public java.lang.String com.springboot.blog.controller.BackController.deleteComment(java.lang.Long)
13:11:59.789 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/comment/reply/{id}],methods=[GET]}" onto public java.lang.String com.springboot.blog.controller.BackController.replyComment(java.lang.Long)
13:11:59.789 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/comment/{id}],methods=[GET]}" onto public com.springboot.blog.entity.Comment com.springboot.blog.controller.BackController.getCommentById(java.lang.Long)
13:11:59.789 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/article/{id}],methods=[GET]}" onto public com.springboot.blog.dto.ArticleDto com.springboot.blog.controller.BackController.getArticleDtoById(java.lang.Long)
13:11:59.792 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/article/list],methods=[GET]}" onto public java.util.List<com.springboot.blog.dto.ArticleWithPictureDto> com.springboot.blog.controller.ForeController.listAllArticleInfo()
13:11:59.792 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/article/list/sort/{id}],methods=[GET]}" onto public java.util.List<com.springboot.blog.dto.ArticleWithPictureDto> com.springboot.blog.controller.ForeController.listArticleInfo(java.lang.Long)
13:11:59.792 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/article/list/latest],methods=[GET]}" onto public java.util.List<com.springboot.blog.dto.ArticleWithPictureDto> com.springboot.blog.controller.ForeController.listLastestArticle()
13:11:59.792 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/article/{id}],methods=[GET]}" onto public com.springboot.blog.dto.ArticleDto com.springboot.blog.controller.ForeController.getArticleById(java.lang.Long)
13:11:59.793 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/category/list],methods=[GET]}" onto public java.util.List<com.springboot.blog.entity.CategoryInfo> com.springboot.blog.controller.ForeController.listAllCategoryInfo()
13:11:59.793 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/comment/list],methods=[GET]}" onto public java.util.List<com.springboot.blog.entity.Comment> com.springboot.blog.controller.ForeController.listAllComment()
13:11:59.793 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/comment/article/{id}],methods=[GET]}" onto public java.util.List<com.springboot.blog.dto.ArticleCommentDto> com.springboot.blog.controller.ForeController.listMessageByArticleId(java.lang.Long)
13:11:59.793 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/comment/article/{id}],methods=[POST]}" onto public java.lang.String com.springboot.blog.controller.ForeController.addArticleComment(java.lang.Long,com.springboot.blog.dto.ArticleCommentDto,javax.servlet.http.HttpServletRequest)
13:11:59.794 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/comment],methods=[POST]}" onto public java.lang.String com.springboot.blog.controller.ForeController.addMessage(com.springboot.blog.entity.Comment,javax.servlet.http.HttpServletRequest)
13:11:59.794 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/sys/log],methods=[GET]}" onto public java.util.List<com.springboot.blog.entity.SysLog> com.springboot.blog.controller.SysController.listAllLog()
13:11:59.795 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/sys/view],methods=[GET]}" onto public java.util.List<com.springboot.blog.entity.SysView> com.springboot.blog.controller.SysController.listAllView()
13:11:59.796 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/v2/api-docs],methods=[GET]}" onto public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String)
13:11:59.799 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/configuration/security]}" onto org.springframework.http.ResponseEntity<springfox.documentation.swagger.web.SecurityConfiguration> springfox.documentation.swagger.web.ApiResourceController.securityConfiguration()
13:11:59.799 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/configuration/ui]}" onto org.springframework.http.ResponseEntity<springfox.documentation.swagger.web.UiConfiguration> springfox.documentation.swagger.web.ApiResourceController.uiConfiguration()
13:11:59.799 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/swagger-resources]}" onto org.springframework.http.ResponseEntity<java.util.List<springfox.documentation.swagger.web.SwaggerResource>> springfox.documentation.swagger.web.ApiResourceController.swaggerResources()
13:11:59.802 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
